date;open_price;highest_price;lowest_price;closing_price;stocks_exchanged
19.04.1996;4,82;4,77;4,74;4,76;7200,00
22.04.1996;4,76;4,63;4,60;4,60;14400,00
23.04.1996;4,60;4,63;4,63;4,63;21060,00
24.04.1996;4,63;4,71;4,63;4,71;14040,00
25.04.1996;4,71;4,71;4,71;4,71;94200,00
26.04.1996;4,71;4,71;4,68;4,71;48000,00
29.04.1996;4,71;4,71;4,71;4,71;12900,00
30.04.1996;4,71;4,77;4,71;4,77;21300,00
02.05.1996;4,77;4,82;4,74;4,82;63060,00
03.05.1996;4,82;4,88;4,85;4,88;236640,00
06.05.1996;4,88;4,88;4,82;4,82;39102,00
07.05.1996;4,82;4,93;4,88;4,93;10200,00
08.05.1996;4,93;5,05;4,93;5,05;47400,00
09.05.1996;5,05;5,05;5,02;5,05;90690,00
10.05.1996;5,05;5,05;5,05;5,05;309600,00
13.05.1996;5,05;4,88;4,86;4,88;5490,00
14.05.1996;4,88;5,13;4,93;5,10;41400,00
15.05.1996;5,10;5,27;5,10;5,27;99000,00
17.05.1996;5,27;5,33;5,21;5,33;61200,00
20.05.1996;5,33;5,40;5,33;5,40;31320,00
21.05.1996;5,40;5,72;5,44;5,72;118200,00
22.05.1996;5,72;5,97;5,72;5,94;104100,00
23.05.1996;5,94;6,22;6,11;6,17;130470,00
24.05.1996;6,17;6,25;6,03;6,25;30204,00
27.05.1996;6,25;6,03;5,97;5,97;4518,00
28.05.1996;5,97;5,97;5,94;5,97;79800,00
29.05.1996;5,97;5,97;5,80;5,80;18600,00
30.05.1996;5,80;5,97;5,86;5,96;160800,00
31.05.1996;5,96;6,03;5,89;6,00;60810,00
03.06.1996;6,00;5,97;5,91;5,97;16200,00
04.06.1996;5,97;6,03;6,00;6,03;48600,00
05.06.1996;6,03;6,17;6,17;6,17;18000,00
06.06.1996;6,17;6,22;6,17;6,22;11100,00
07.06.1996;6,22;6,17;6,03;6,14;25800,00
10.06.1996;6,14;6,03;6,03;6,03;10500,00
11.06.1996;6,03;6,11;6,00;6,11;34230,00
12.06.1996;6,11;6,11;6,03;6,11;122400,00
13.06.1996;6,11;5,94;5,94;5,94;600,00
14.06.1996;5,94;6,03;6,03;5,94;4800,00
17.06.1996;5,75;5,75;5,75;5,75;0,00
18.06.1996;5,75;5,89;5,89;5,89;4026,00
19.06.1996;5,89;6,00;5,97;6,00;3300,00
20.06.1996;6,00;6,11;6,03;6,11;22200,00
24.06.1996;6,11;6,11;6,11;6,11;136200,00
25.06.1996;6,11;6,17;6,11;6,17;60060,00
26.06.1996;6,17;6,19;6,14;6,19;106320,00
27.06.1996;6,19;6,17;6,17;6,17;114120,00
28.06.1996;6,17;6,25;6,22;6,22;3600,00
01.07.1996;6,22;6,25;6,17;6,25;12600,00
02.07.1996;6,25;6,39;6,31;6,36;38610,00
03.07.1996;6,36;6,39;6,36;6,39;15600,00
04.07.1996;6,39;6,39;6,36;6,39;24000,00
05.07.1996;6,39;6,39;6,39;6,39;0,00
08.07.1996;6,22;6,22;6,22;6,22;0,00
09.07.1996;6,22;6,34;6,22;6,22;30000,00
10.07.1996;6,22;6,25;6,19;6,19;39810,00
11.07.1996;6,19;6,31;6,25;6,25;24180,00
12.07.1996;6,25;6,28;6,28;6,28;18114,00
15.07.1996;6,28;6,28;6,28;6,28;0,00
16.07.1996;6,28;6,28;6,28;6,28;0,00
17.07.1996;6,14;6,14;6,14;6,14;0,00
18.07.1996;6,14;6,03;5,89;5,89;94200,00
19.07.1996;5,89;6,11;6,03;6,11;161400,00
22.07.1996;6,11;6,11;6,11;6,11;0,00
23.07.1996;5,97;5,97;5,97;5,97;0,00
24.07.1996;5,97;5,97;5,97;5,97;0,00
25.07.1996;6,08;6,08;6,08;6,08;0,00
26.07.1996;6,08;6,11;5,91;6,11;4200,00
29.07.1996;6,11;6,17;6,17;6,17;109200,00
30.07.1996;6,17;6,17;6,11;6,11;52200,00
31.07.1996;6,11;6,17;6,17;6,17;12600,00
01.08.1996;6,17;6,17;6,17;6,17;23400,00
02.08.1996;6,17;6,03;6,03;6,03;1800,00
05.08.1996;6,03;6,03;5,86;5,89;27000,00
06.08.1996;5,89;5,80;5,75;5,75;250860,00
07.08.1996;5,75;5,89;5,80;5,89;110700,00
08.08.1996;5,89;5,89;5,83;5,83;47400,00
09.08.1996;5,83;6,08;6,00;6,03;96600,00
12.08.1996;6,03;6,05;6,03;6,03;64800,00
13.08.1996;6,03;6,05;6,00;6,03;52146,00
14.08.1996;6,03;6,03;6,03;6,03;163800,00
15.08.1996;6,03;6,17;6,03;6,15;22008,00
16.08.1996;6,15;6,17;6,14;6,14;7800,00
19.08.1996;6,14;6,14;6,14;6,14;21792,00
20.08.1996;6,14;6,08;6,03;6,03;15600,00
21.08.1996;6,03;6,17;6,03;6,17;420300,00
22.08.1996;6,17;6,31;6,17;6,28;238998,00
23.08.1996;6,28;6,34;6,25;6,31;564600,00
26.08.1996;6,31;6,56;6,28;6,56;15000,00
27.08.1996;6,56;6,73;6,56;6,73;34800,00
28.08.1996;6,73;6,62;6,59;6,62;16800,00
29.08.1996;6,62;6,81;6,64;6,73;67200,00
30.08.1996;6,73;6,90;6,87;6,90;30600,00
02.09.1996;6,90;6,90;6,87;6,87;67200,00
03.09.1996;6,87;6,87;6,53;6,62;75000,00
04.09.1996;6,62;6,62;6,59;6,59;21138,00
05.09.1996;6,59;6,48;5,97;5,97;15702,00
06.09.1996;5,97;5,97;5,97;5,97;0,00
09.09.1996;6,45;6,45;6,45;6,45;0,00
10.09.1996;6,45;6,67;6,53;6,67;47400,00
11.09.1996;6,67;6,70;6,59;6,59;66714,00
12.09.1996;6,59;6,73;6,59;6,73;25800,00
13.09.1996;6,73;6,87;6,73;6,87;10440,00
16.09.1996;6,87;6,73;6,73;6,73;3348,00
17.09.1996;6,73;7,01;6,84;7,01;62292,00
18.09.1996;7,01;7,60;7,15;7,57;153438,00
19.09.1996;7,57;7,65;7,34;7,37;87600,00
20.09.1996;7,37;7,35;7,29;7,29;174012,00
23.09.1996;7,29;7,15;7,01;7,01;31200,00
24.09.1996;7,01;7,29;7,15;7,29;8400,00
25.09.1996;7,29;7,19;7,15;7,18;23490,00
26.09.1996;7,18;7,15;7,09;7,15;24600,00
27.09.1996;7,15;7,15;7,04;7,04;73200,00
30.09.1996;7,04;7,06;7,06;7,06;6600,00
01.10.1996;7,06;7,01;7,01;7,01;52830,00
02.10.1996;7,01;6,95;6,95;6,95;16020,00
03.10.1996;6,95;6,92;6,87;6,87;128400,00
04.10.1996;6,87;6,87;6,81;6,87;23400,00
07.10.1996;6,87;6,87;6,87;6,87;228600,00
08.10.1996;6,87;6,87;6,81;6,84;22800,00
09.10.1996;6,84;6,92;6,87;6,87;196662,00
10.10.1996;6,87;6,87;6,87;6,87;391080,00
11.10.1996;6,87;7,12;6,87;7,12;421230,00
14.10.1996;7,12;7,20;7,12;7,20;14514,00
15.10.1996;7,20;7,48;7,29;7,48;331824,00
16.10.1996;7,48;7,71;7,57;7,68;58350,00
17.10.1996;7,68;7,74;7,57;7,74;55020,00
18.10.1996;7,74;8,55;7,71;8,55;606180,00
21.10.1996;8,55;8,55;8,41;8,41;107958,00
22.10.1996;8,41;8,55;8,41;8,55;40698,00
23.10.1996;8,55;8,63;8,52;8,61;78300,00
24.10.1996;8,61;8,61;8,58;8,58;75492,00
25.10.1996;8,58;8,61;8,55;8,58;98118,00
28.10.1996;8,58;8,61;8,58;8,61;9408,00
29.10.1996;8,61;8,55;8,41;8,55;24798,00
30.10.1996;8,55;8,41;8,27;8,41;42660,00
31.10.1996;8,41;8,51;8,41;8,51;204810,00
01.11.1996;8,51;8,72;8,41;8,72;218400,00
04.11.1996;8,72;8,97;8,69;8,97;9582,00
05.11.1996;8,97;8,97;8,89;8,97;115500,00
06.11.1996;8,97;9,14;8,97;9,14;95430,00
07.11.1996;9,14;9,17;9,14;9,14;54240,00
08.11.1996;9,14;9,17;9,17;9,17;217560,00
11.11.1996;9,17;9,33;9,22;9,33;12960,00
12.11.1996;9,33;9,67;9,33;9,67;2130,00
13.11.1996;9,67;9,92;9,67;9,81;176676,00
14.11.1996;9,81;9,87;9,75;9,81;132864,00
15.11.1996;9,81;9,95;9,87;9,95;187020,00
18.11.1996;9,95;10,19;10,09;10,19;53880,00
19.11.1996;10,19;10,32;10,09;10,23;118140,00
20.11.1996;10,23;10,23;10,09;10,23;91422,00
21.11.1996;10,23;10,23;10,09;10,16;63480,00
22.11.1996;10,16;10,23;10,18;10,23;23580,00
25.11.1996;10,23;10,23;10,18;10,23;25014,00
26.11.1996;10,23;10,15;10,09;10,09;22920,00
27.11.1996;10,09;9,98;9,67;9,98;65460,00
28.11.1996;9,98;10,09;10,04;10,06;27000,00
29.11.1996;10,06;10,09;10,04;10,04;33780,00
02.12.1996;10,04;9,98;9,81;9,81;59400,00
03.12.1996;9,81;9,81;9,78;9,78;14520,00
04.12.1996;9,78;9,67;9,59;9,59;77100,00
05.12.1996;9,59;9,70;9,67;9,67;36900,00
09.12.1996;9,67;9,70;9,39;9,70;48600,00
10.12.1996;9,70;9,90;9,81;9,90;116700,00
11.12.1996;9,90;10,04;9,81;9,81;74286,00
12.12.1996;9,81;10,09;9,81;10,09;166170,00
13.12.1996;10,09;10,09;9,81;10,09;53556,00
16.12.1996;10,09;10,09;10,09;10,09;122520,00
17.12.1996;10,09;10,15;10,04;10,04;204168,00
18.12.1996;10,04;10,09;10,04;10,09;133200,00
19.12.1996;10,09;10,12;9,95;10,09;111450,00
20.12.1996;10,09;10,32;10,23;10,23;65100,00
23.12.1996;10,23;10,18;10,15;10,15;36000,00
27.12.1996;10,15;10,65;10,23;10,65;13794,00
30.12.1996;10,65;10,90;10,57;10,90;120036,00
02.01.1997;10,90;10,85;10,79;10,85;12936,00
03.01.1997;10,85;11,07;10,65;11,07;84924,00
07.01.1997;11,07;11,55;10,94;11,49;104400,00
08.01.1997;11,49;12,33;11,77;12,33;156696,00
09.01.1997;12,33;12,19;12,03;12,05;399444,00
10.01.1997;12,05;12,02;11,77;11,91;242952,00
13.01.1997;11,91;11,91;11,80;11,86;105372,00
14.01.1997;11,86;11,97;11,77;11,91;147648,00
15.01.1997;11,91;12,03;11,91;11,97;49500,00
16.01.1997;11,97;12,01;11,78;11,78;36954,00
17.01.1997;11,78;11,91;11,86;11,89;42486,00
20.01.1997;11,89;11,91;11,89;11,89;15360,00
21.01.1997;11,89;11,91;11,75;11,77;226386,00
22.01.1997;11,77;11,91;11,75;11,86;112212,00
23.01.1997;11,86;11,89;11,83;11,83;180360,00
24.01.1997;11,83;11,83;11,75;11,75;31938,00
27.01.1997;11,75;11,75;11,66;11,68;22500,00
28.01.1997;11,68;11,66;11,49;11,66;178776,00
29.01.1997;11,66;11,52;11,49;11,49;66786,00
30.01.1997;11,49;11,39;10,79;11,38;54120,00
31.01.1997;11,38;11,49;10,93;10,93;151140,00
03.02.1997;10,93;11,46;11,35;11,44;29850,00
04.02.1997;11,44;11,63;11,46;11,58;182790,00
05.02.1997;11,58;11,58;11,55;11,58;40158,00
06.02.1997;11,58;11,58;11,49;11,49;39798,00
07.02.1997;11,49;11,75;11,58;11,58;25464,00
10.02.1997;11,58;11,58;11,50;11,50;18540,00
11.02.1997;11,50;11,55;11,44;11,52;201120,00
12.02.1997;11,52;11,52;11,52;11,52;139260,00
13.02.1997;11,52;11,69;11,52;11,66;132060,00
14.02.1997;11,66;11,86;11,63;11,72;191040,00
17.02.1997;11,72;11,77;11,66;11,77;228780,00
18.02.1997;11,77;12,00;11,77;12,00;74160,00
19.02.1997;12,00;12,19;11,94;11,97;164082,00
20.02.1997;11,97;12,11;11,94;12,05;90252,00
21.02.1997;12,05;11,97;11,77;11,97;20460,00
24.02.1997;11,97;12,05;11,83;11,83;9480,00
25.02.1997;11,83;12,11;12,00;12,11;46764,00
26.02.1997;12,11;12,22;12,05;12,19;211260,00
27.02.1997;12,19;12,25;12,11;12,17;270900,00
28.02.1997;12,17;12,22;12,08;12,08;23070,00
03.03.1997;12,08;12,05;12,05;12,05;9318,00
04.03.1997;12,05;11,77;11,49;11,69;32004,00
05.03.1997;11,69;11,91;11,80;11,80;7716,00
06.03.1997;11,80;12,33;11,89;12,33;177702,00
07.03.1997;12,33;12,47;12,33;12,33;38370,00
10.03.1997;12,33;12,75;12,36;12,75;53592,00
11.03.1997;12,75;12,75;12,61;12,61;35556,00
12.03.1997;12,61;12,61;12,61;12,61;11046,00
13.03.1997;12,61;12,33;12,25;12,33;33900,00
14.03.1997;12,33;12,06;11,97;12,03;54600,00
17.03.1997;12,03;11,94;11,77;11,91;13218,00
18.03.1997;11,91;11,77;11,55;11,55;57132,00
